                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6396,                  2.584,                 1.7298,                 0.2042,                0.20795,                0.12827,                0.05065,                 2.1414,                 3.1722,                 2.1156,             0.00055122,             0.00055122,             0.00055122
                      2,                 1.7065,                 2.3913,                 1.7774,                0.32782,                0.32514,                 0.2556,                0.11254,                 1.8209,                 2.7346,                 1.9637,             0.00055898,             0.00055898,             0.00055898
