                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5953,                 3.4961,                 4.2014,                0.00484,                 0.3923,                 0.0366,                0.00943,                  3.652,                 3.5589,                 4.1461,                0.00048,                0.00048,                0.00048
                      2,                 3.5749,                 3.4148,                 4.1186,                0.00478,                0.38758,                0.04549,                0.01379,                 3.6312,                 3.5508,                 4.1137,              0.0004949,              0.0004949,              0.0004949
